date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:50	87118/87118	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-1544e%22	https://nowrintnxt.github.io/edustage/img/blog/feature-img1.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/feature-img1.jpg	(from https://nowrintnxt.github.io/edustage/single-blog.html)
11:27:50	35831/35831	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-8bf7%22	https://nowrintnxt.github.io/edustage/img/blog/post-img1.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/post-img1.jpg	(from https://nowrintnxt.github.io/edustage/single-blog.html)
11:27:51	38676/38676	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-9714%22	https://nowrintnxt.github.io/edustage/img/blog/post-img2.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/post-img2.jpg	(from https://nowrintnxt.github.io/edustage/single-blog.html)
11:27:52	2397/2397	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-95d%22	https://nowrintnxt.github.io/edustage/img/blog/prev.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/prev.jpg	(from https://nowrintnxt.github.io/edustage/single-blog.html)
11:27:53	2712/2712	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-a98%22	https://nowrintnxt.github.io/edustage/img/blog/next.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/next.jpg	(from https://nowrintnxt.github.io/edustage/single-blog.html)
11:27:54	2777/2777	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-ad9%22	https://nowrintnxt.github.io/edustage/img/blog/c4.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/c4.jpg	(from https://nowrintnxt.github.io/edustage/single-blog.html)
11:27:55	2072/2072	---M--	200	added ('OK')	image/jpeg	etag:%225f328367-818%22	https://nowrintnxt.github.io/edustage/img/blog/c5.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/c5.jpg	(from https://nowrintnxt.github.io/edustage/single-blog.html)
11:27:56	14968/14968	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f328367-3a78%22	https://nowrintnxt.github.io/edustage/js/stellar.js	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/js/stellar.js	(from https://nowrintnxt.github.io/edustage/contact.html)
11:27:57	21068/21068	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f328367-524c%22	https://nowrintnxt.github.io/edustage/js/jquery.validate.min.js	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/js/jquery.validate.min.js	(from https://nowrintnxt.github.io/edustage/contact.html)
11:27:58	3024/3024	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f328367-bd0%22	https://nowrintnxt.github.io/edustage/js/contact.js	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/js/contact.js	(from https://nowrintnxt.github.io/edustage/contact.html)
11:29:17	50632/50632	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/trainer/t2.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/trainer/t2.jpg	(from https://nowrintnxt.github.io/edustage/index.html)
11:29:18	143857/143857	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/courses/c1.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/courses/c1.jpg	(from https://nowrintnxt.github.io/edustage/index.html)
11:29:19	97812/97812	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/courses/c3.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/courses/c3.jpg	(from https://nowrintnxt.github.io/edustage/index.html)
11:29:19	43954/43954	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/trainer/t1.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/trainer/t1.jpg	(from https://nowrintnxt.github.io/edustage/index.html)
11:30:37	121847/121847	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/event/e1.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/event/e1.jpg	(from https://nowrintnxt.github.io/edustage/index.html)
11:30:37	169391/169391	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/event/e2.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/event/e2.jpg	(from https://nowrintnxt.github.io/edustage/index.html)
11:30:38	402622/402622	URF---	200	added ('OK%20(cached)')	image/png		https://nowrintnxt.github.io/edustage/img/about.png	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/about.png	(from https://nowrintnxt.github.io/edustage/about-us.html)
11:30:38	206569/206569	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/courses/course-details.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/courses/course-details.jpg	(from https://nowrintnxt.github.io/edustage/course-details.html)
11:30:38	2998/2998	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f328367-bb6%22	https://nowrintnxt.github.io/edustage/fonts/Flaticon.eot	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/fonts/Flaticon.eot	(from https://nowrintnxt.github.io/edustage/css/flaticon.css)
11:30:39	2459/2459	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/blog/c1.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/blog/c1.jpg	(from https://nowrintnxt.github.io/edustage/course-details.html)
11:30:39	1879/1879	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/elements/f1.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/elements/f1.jpg	(from https://nowrintnxt.github.io/edustage/elements.html)
11:30:39	1957/1957	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/elements/f2.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/elements/f2.jpg	(from https://nowrintnxt.github.io/edustage/elements.html)
11:30:39	1559/1559	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/elements/f4.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/elements/f4.jpg	(from https://nowrintnxt.github.io/edustage/elements.html)
11:30:40	2998/2998	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f328367-bb6%22	https://nowrintnxt.github.io/edustage/fonts/Flaticon.eot?	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/fonts/Flaticond41d.eot	(from https://nowrintnxt.github.io/edustage/css/flaticon.css)
11:30:41	1825/1825	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/elements/f5.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/elements/f5.jpg	(from https://nowrintnxt.github.io/edustage/elements.html)
11:30:41	1343/1343	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/elements/f8.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/elements/f8.jpg	(from https://nowrintnxt.github.io/edustage/elements.html)
11:30:41	1516/1516	URF---	200	added ('OK%20(cached)')	image/jpeg		https://nowrintnxt.github.io/edustage/img/elements/f7.jpg	/home/kumartej/websites/edu5/nowrintnxt.github.io/edustage/img/elements/f7.jpg	(from https://nowrintnxt.github.io/edustage/elements.html)
